TS,Sequence,Node,Millis,Sensor,Reading,ReadingUnits,Memo,RSSI,OriginId
2013-11-07 11:52:14,R4125,Proto1,3219975,MDWIND,638.00,raw,,-80,0
2013-11-07 11:52:15,R99,Mote2,119171,Dallas,22.13,C,,-79,0
2013-11-07 11:52:15,R99,Mote2,119171,Dallas-F,71.834,F,,-79,0
2013-11-07 11:52:15,R4126,Proto1,3220880,Dallas,29.00,C,,-83,0
2013-11-07 11:52:15,R4126,Proto1,3220880,Dallas-F,84.2,F,,-83,0
2013-11-07 11:52:20,R4127,Proto1,3225629,SHT15-Temp,-42.56,C,,-79,0
2013-11-07 11:52:20,R4127,Proto1,3225629,SHT15-Temp-F,-44.608,F,,-79,0
2013-11-07 11:52:20,R4128,Proto1,3225716,SHT15-RH,-13.84,%RH,,-80,0
2013-11-07 11:52:20,R100,Mote2,124243,BATT-R,148.00,raw,,-82,0
2013-11-07 11:52:21,R4132,Proto1,3226433,LUX-FLT,127.00,lux,,-77,0
2013-11-07 11:52:22,R104,Mote2,125396,Dallas,22.06,C,,-76,0
2013-11-07 11:52:22,R104,Mote2,125396,Dallas-F,71.708,F,,-76,0
2013-11-07 11:52:22,R4136,Proto1,3227681,Dallas,29.06,C,,-83,0
2013-11-07 11:52:22,R4136,Proto1,3227681,Dallas-F,84.308,F,,-83,0
2013-11-07 11:52:27,R4137,Proto1,3232431,SHT15-Temp,-42.56,C,,-79,0
2013-11-07 11:52:27,R4137,Proto1,3232431,SHT15-Temp-F,-44.608,F,,-79,0
2013-11-07 11:52:27,R4140,Proto1,3232718,BATT-V,3.30,volts,,-82,0
2013-11-07 11:52:27,R105,Mote2,130471,BATT-R,148.00,raw,,-80,0
2013-11-07 11:52:27,R107,Mote2,130622,LUX-FLT,143.00,lux,,-79,0
2013-11-07 11:52:28,R4145,Proto1,3233230,MDWIND,670.00,raw,,-81,0
2013-11-07 11:52:29,R4146,Proto1,3234918,Dallas,29.00,C,,-84,0
2013-11-07 11:52:29,R4146,Proto1,3234918,Dallas-F,84.2,F,,-84,0
2013-11-07 11:52:29,R4146,Proto1,3234918,Dallas,29.00,C,,-81,0
2013-11-07 11:52:29,R4146,Proto1,3234918,Dallas-F,84.2,F,,-81,0
2013-11-07 11:52:34,R110,Mote2,136692,BATT-R,148.00,raw,,-82,0
2013-11-07 11:52:34,R110,Mote2,136692,BATT-R,148.00,raw,,-63,0
